course_id,course_title,description,category,partner,is_paid,price,duration_weeks,enrollment_count,rating,level
0,Innovation: the Fashion Industry,Understand how big fashion retailers innovate and discover the story behind a favourite piece of your clothing.,Creative Arts & Media,University of Leeds,True,39.0,2,86694.0,4.57353,Introductory level
1,Transport Systems: Global Issues and Future Innovations,Discover how the transport sector can develop infrastructures that meet the needs of a 21st century population.,Nature & Environment,University of Leeds,True,39.0,2,11888.0,4.72,Introductory level
2,Critical Thinking at University: An Introduction,Critical thinking is a vital skill for university study whatever your discipline. Prepare for university now.,Study Skills,University of Leeds,True,39.0,2,57997.0,4.66667,Introductory level
3,Sustainability in Business: Building a Greener Future,"Discover how sustainable business practices shape a greener, more resilient future.",Business & Management,University of Leeds,False,0.0,3,1085.0,,Introductory level
4,Leadership and Change Management for Sustainability Success,Transform your leadership skills in change management with a focus on sustainability. Lead business success with impactful change.,Business & Management,University of Leeds,False,0.0,3,2228.0,,Introductory level
5,What Do Popular Songs Mean?,Explore what shapes your take on popular songs and discover where music theory can lead you with Leeds University.,Creative Arts & Media,University of Leeds,False,0.0,4,377.0,,Introductory level
6,Masterclass in Chronic Myeloid Leukaemia,"Gain essential knowledge on chronic myeloid leukaemia (CML), treatment strategies, and emerging advancements in patient care.",Healthcare & Medicine,Universiti Malaya,False,0.0,3,,,Introductory level
7,Film Audience and Spectator Experience: Exploring Film’s Impact,"Explore how film audiences and spectators interact with films, shaping and interpreting cinematic experiences.",Creative Arts & Media,Film Distributors' Association,False,0.0,3,527.0,,Introductory level
8,Unleash your potential: AI fundamentals,"Empower yourself by understanding what AI is, how it works, what it can and can’t do, and the difference it is making.",IT & Computer Science,University of Bristol,False,0.0,4,,,
9,Género y Movilidad en América Latina: Hacia Ciudades Más Inclusivas,"Explora la relación entre género y movilidad, y cómo una planificación inclusiva puede transformar el transporte.",Politics & Society,Transformative Urban Mobility Initiative (TUMI),False,0.0,6,1134.0,,
10,"Young, Queer & Away from Home: LGBTIQ+ identities and creating inclusive services","Advocate for LGBTIQ+ children and young people by creating safer, more welcoming services and improving professional knowledge.",Politics & Society,Missing Children Europe,False,0.0,3,,,
11,Learning Online: Studying and Reflecting,Get the most out of online learning by reflecting and sharing your learning with others.,Study Skills,University of Leeds,False,0.0,2,22925.0,,Introductory level
12,Learning Online: Managing Your Online Identity,Reflect on how you want to present yourself online and take positive steps towards these goals.,Study Skills,University of Leeds,False,0.0,2,39490.0,,Introductory level
13,Introduction to Dutch,"Learn to speak, write and understand basic Dutch, with this free, three-week, introductory foreign language course.",Language,University of Groningen,True,39.0,3,317815.0,4.79532,Introductory level
14,Film Distribution: Connecting Films with Audiences,"Discover how your favourite films make it to your local cinema or television screen, through the film distribution process.",Creative Arts & Media,Film Distributors' Association,True,59.0,4,25879.0,4.70297,Introductory level
15,Business Ethics: Exploring Big Data and Tax Avoidance,Learn why big data and tax avoidance are some of the biggest ethical issues facing businesses today and how they can be addressed.,Business & Management,University of Leeds,False,0.0,2,12622.0,,Introductory level
16,Social Model of Disability,Explore the social model of disability and learn how to create a more equitable society with the University of Leeds.,Politics & Society,University of Leeds,False,0.0,2,1661.0,,Introductory level
17,Data Fundamentals for Sustainable Mobility,"Unlock the power of transport data by learning to measure, analyze, manage, and visualize for future sustainable urban mobility",Nature & Environment,Transformative Urban Mobility Initiative (TUMI),False,0.0,5,2670.0,,Introductory level
18,Starting a Business 3: Customers and Competitors,Find out how understanding and targeting your market can help your business stand out from the crowd.,Business & Management,University of Leeds,False,0.0,2,53528.0,,Introductory level
19,Starting a Business 5: Managing Finances,Find out how forecasting and managing your finances can lead to a profitable and sustainable business.,Business & Management,University of Leeds,False,0.0,2,54683.0,,Introductory level
20,Starting a Business 6: Funding Your Business,Raising funds in an important when starting a business; find out which source of funding is most suitable for your business idea.,Business & Management,University of Leeds,False,0.0,2,40207.0,,Introductory level
21,WW1 Heroism: Through Art and Film,Discover just some of the ways that heroism and the First World War is portrayed through art and film.,Creative Arts & Media,University of Leeds,True,39.0,2,37911.0,4.44872,Introductory level
22,Study UK: Preparing for work,Boost your career with essential job search and employability skills with Study UK,Study Skills,British Council,True,0.0,3,,4.83221,
23,Incarceration: Are Prisons a Suitable Punishment?,Explore life inside UK prisons. Learn whether this type of punishment reduces crime and if rehabilitation can prevent reoffending.,Law,University of Leeds,True,39.0,2,28265.0,4.64162,
24,Introduction to Intercultural Studies: Language and Culture,Explore intercultural communication by understanding the relationship between language and cultural identity.,Language,University of Leeds,True,39.0,2,23575.0,4.6,Introductory level
25,Introduction to Research Ethics: Working with People,Find out how to conduct ethical research when working with people by studying this online course for university students.,Study Skills,University of Leeds,True,39.0,2,19594.0,4.72093,Introductory level
26,Skills to Succeed at University,Prepare for university and master academic skills that are essential for undergraduates studying in the UK.,Study Skills,University of Leeds,False,0.0,2,7794.0,,Introductory level
27,Data Management,Gain a solid introduction to data management to help you learn the best practices to use in your plant phenotyping.,IT & Computer Science,The University of Nottingham,False,0.0,5,,,Advanced level
28,Fluid Dynamics in Practice: Applications to Real-World Challenges,Discover how fluids and computational fluid dynamics shape our world with the University of Leeds.,"Science, Engineering & Maths",University of Leeds,False,0.0,2,975.0,,Introductory level
29,Statistical Methods,"Learn key statistical methods to confidently analyse and visualise data, and unlock insights to support data-driven decisions.","Science, Engineering & Maths",University of Leeds,False,0.0,3,782.0,,Advanced level
30,Learning Online: Communicating and Collaborating,Become an effective online learner and develop your online communication skills when working with others.,Study Skills,University of Leeds,True,39.0,2,70518.0,4.48485,Introductory level
31,Exploring Cancer Medicines,Explore the use of medicines in treating cancer and take your first steps towards becoming a science writer.,Healthcare & Medicine,University of Leeds,True,39.0,2,65081.0,4.29167,Introductory level
32,Physical Theatre: Exploring the Slap,"Learn about Meyerhold’s form of physical theatre, biomechanics, and understand and perform ‘The Slap’.",Creative Arts & Media,University of Leeds,False,0.0,2,26357.0,,Introductory level
33,Starting a Business 1: Vision and Opportunity,Interested in starting a business? This course will help you define your vision and discover opportunities to make it happen.,Business & Management,University of Leeds,True,39.0,2,185353.0,4.53211,Introductory level
34,Ecology and Wildlife Conservation,Discover ecology and learn how we can protect wildlife to conserve our natural world.,Nature & Environment,University of Leeds,True,39.0,2,40442.0,4.5534,Introductory level
35,Fundamentals of Robotics for Bioscientists,Unpack the foundational concepts of autonomous robots to understand their operations and advantages for plant phenotyping.,IT & Computer Science,The University of Nottingham,False,0.0,4,,,Introductory level
36,A Beginner’s Guide to Film Genres,Explore what genre means in film and how it shapes both the narrative and the audience’s response to the story on screen.,Creative Arts & Media,Film Distributors' Association,False,0.0,4,6340.0,,Introductory level
37,How to Read a Film,Delve into the devices used to create meaning in film as you gain a deeper understanding of what we see on screen.,Creative Arts & Media,Film Distributors' Association,False,0.0,5,3432.0,,Introductory level
38,Listening Skills to Succeed at University,Improve your listening skills and learn practical strategies for effective listening at university.,Study Skills,University of Leeds,False,0.0,2,2492.0,,Introductory level
39,Writing About Music,Discover your unique take on music and learn to write about it clearly and confidently with the University of Leeds.,Creative Arts & Media,University of Leeds,False,0.0,4,665.0,,Introductory level
40,GenAI in Healthcare and Life Sciences,"Apply generative AI responsibly in clinical practice, research, patient care, and operations for improved efficiency and outcomes",Healthcare & Medicine,Starweaver,False,0.0,4,,,Intermediate level
41,Anatomy: Know Your Abdomen,Discover the human abdomen and how it works.,Healthcare & Medicine,University of Leeds,True,39.0,2,151650.0,4.66547,Introductory level
42,Starting a Business 2: People and Networks,Find out how working with people and exploring networks can help you take your business to the next level.,Business & Management,University of Leeds,False,0.0,2,60809.0,,Introductory level
43,Starting a Business 4: Business Processes,Understand how business works and performance can be improved so that you can take your business forward and manage growth.,Business & Management,University of Leeds,False,0.0,2,47380.0,,Introductory level
44,Learning Online: Researching Your Project,Improve your online research skills and your ability to critically analyse sources of information.,Study Skills,University of Leeds,True,39.0,2,78893.0,4.59756,Introductory level
45,Preparing to Learn Online at University,Need advice on how to study online? Discover study techniques and skills for learning online as part of your university studies.,Study Skills,University of Leeds,False,0.0,3,7581.0,,Introductory level
46,Food Science and Nutrition: From the Farm to You,Follow food’s fascinating journey from the farm to your body and explore new food technologies and nutrition around the world.,Nature & Environment,University of Leeds,True,39.0,2,16393.0,4.38961,Introductory level
47,Interdisciplinary Learning: Working Across Disciplines,Thinking of doing an interdisciplinary degree? Learn how to study and work in an interdisciplinary environment.,Study Skills,University of Leeds,False,0.0,2,7397.0,,Intermediate level
48,The Life and Afterlife of Mary Queen of Scots,"Explore the 16th century life of Mary Queen of Scots, and her place in cultural history in the centuries that followed.",History,The University of Glasgow,True,79.0,3,6611.0,4.79521,
49,Planet Earth: Understanding and Protecting our Environment,Learn about the physical geography of Earth and discover how to use this knowledge to protect our natural environment.,Nature & Environment,University of Leeds,False,0.0,2,5854.0,,
50,Chemical Engineering: Shaping a Sustainable Future,Learn how chemical engineering can help to solve global challenges and explore its role in delivering sustainable development.,"Science, Engineering & Maths",University of Leeds,False,0.0,2,4899.0,,Introductory level
51,AI-Driven Strategic HR Operations Compliance,"Use AI to streamline HR operations, strengthen compliance, and support ethical, data-driven workforce decisions.",IT & Computer Science,Starweaver,False,0.0,4,,,Intermediate level
52,English Language Learners: How to Read the English News,Improve your English language skills and keep up with current issues as you learn how to understand the English news.,Language,National Tsing Hua University (NTHU),False,0.0,6,,,Intermediate level
