title,url,partner,partner_url,course_type,description,category,image_url,duration_weeks,hours_per_week,level,rating,rating_count,enrolled_count,price,currency,start_date
Innovation: the Fashion Industry,https://www.futurelearn.com/courses/fashion-innovation,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Understand how big fashion retailers innovate and discover the story behind a favourite piece of your clothing.,Creative Arts & Media,https://ugc.futurelearn.com/uploads/images/68/9c/689cbb4d-de7f-4311-a0fa-f1bd6e94d25b.jpg,2,,Introductory level,4.57353,68,86694,39.0,GBP,2026-02-16
Transport Systems: Global Issues and Future Innovations,https://www.futurelearn.com/courses/transport-systems-global-issues-and-future-innovations,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Discover how the transport sector can develop infrastructures that meet the needs of a 21st century population.,Nature & Environment,https://ugc.futurelearn.com/uploads/images/7e/2e/7e2ebbe5-b235-4530-b631-24067516e74c.jpg,2,,Introductory level,4.72,50,11888,39.0,GBP,2026-02-16
Critical Thinking at University: An Introduction,https://www.futurelearn.com/courses/critical-thinking-at-university,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Critical thinking is a vital skill for university study whatever your discipline. Prepare for university now.,Study Skills,https://ugc.futurelearn.com/uploads/images/ed/be/edbea8bd-1c7f-4b3d-9e2b-673329fa7b53.jpg,2,,Introductory level,4.66667,186,57997,39.0,GBP,2026-02-16
Sustainability in Business: Building a Greener Future,https://www.futurelearn.com/courses/sustainability-in-business-building-a-greener-future,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,"Discover how sustainable business practices shape a greener, more resilient future.",Business & Management,,3,,Introductory level,,,1085,,,
Leadership and Change Management for Sustainability Success,https://www.futurelearn.com/courses/leadership-and-change-management-for-sustainability-success,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Transform your leadership skills in change management with a focus on sustainability. Lead business success with impactful change.,Business & Management,,3,,Introductory level,,,2228,,,
What Do Popular Songs Mean?,https://www.futurelearn.com/courses/what-do-popular-songs-mean,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Explore what shapes your take on popular songs and discover where music theory can lead you with Leeds University.,Creative Arts & Media,,4,,Introductory level,,,377,,,
Masterclass in Chronic Myeloid Leukaemia,https://www.futurelearn.com/courses/chronic-myeloid-leukemia,Universiti Malaya,https://www.futurelearn.com/partners/universiti-malaya,Course,"Gain essential knowledge on chronic myeloid leukaemia (CML), treatment strategies, and emerging advancements in patient care.",Healthcare & Medicine,,3,,Introductory level,,,,,,
Film Audience and Spectator Experience: Exploring Film’s Impact,https://www.futurelearn.com/courses/film-audience-and-spectator-experience,Film Distributors' Association,https://www.futurelearn.com/partners/film-distributors-association,Course,"Explore how film audiences and spectators interact with films, shaping and interpreting cinematic experiences.",Creative Arts & Media,,3,,Introductory level,,,527,,,
Unleash your potential: AI fundamentals,https://www.futurelearn.com/courses/unleash-your-potential-ai-fundamentals,University of Bristol,https://www.futurelearn.com/partners/university-of-bristol,Course,"Empower yourself by understanding what AI is, how it works, what it can and can’t do, and the difference it is making.",IT & Computer Science,,4,,,,,,,,
Género y Movilidad en América Latina: Hacia Ciudades Más Inclusivas,https://www.futurelearn.com/courses/an-introduction-to-gender-and-mobility-in-emerging-economies-spanish,Transformative Urban Mobility Initiative (TUMI),https://www.futurelearn.com/partners/transformative-urban-mobility-initiative,Course,"Explora la relación entre género y movilidad, y cómo una planificación inclusiva puede transformar el transporte.",Politics & Society,,6,,,,,1134,,,
"Young, Queer & Away from Home: LGBTIQ+ identities and creating inclusive services",https://www.futurelearn.com/courses/young-queer-away-from-home-lgbtiq-identities-and-creating-inclusive-services,Missing Children Europe,https://www.futurelearn.com/partners/missing-children-europe,Course,"Advocate for LGBTIQ+ children and young people by creating safer, more welcoming services and improving professional knowledge.",Politics & Society,,3,,,,,,,,
Learning Online: Studying and Reflecting,https://www.futurelearn.com/courses/reflecting-and-sharing,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Get the most out of online learning by reflecting and sharing your learning with others.,Study Skills,,2,,Introductory level,,,22925,,,
Learning Online: Managing Your Online Identity,https://www.futurelearn.com/courses/online-identity,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Reflect on how you want to present yourself online and take positive steps towards these goals.,Study Skills,,2,,Introductory level,,,39490,,,
Introduction to Dutch,https://www.futurelearn.com/courses/dutch,University of Groningen,https://www.futurelearn.com/partners/university-of-groningen,Course,"Learn to speak, write and understand basic Dutch, with this free, three-week, introductory foreign language course.",Language,https://ugc.futurelearn.com/uploads/images/cb/1e/cb1e60d4-5775-4ba4-900a-a69e6a6955f5.jpg,3,,Introductory level,4.79532,513,317815,39.0,GBP,2026-02-23
Film Distribution: Connecting Films with Audiences,https://www.futurelearn.com/courses/film-distribution,Film Distributors' Association,https://www.futurelearn.com/partners/film-distributors-association,Course,"Discover how your favourite films make it to your local cinema or television screen, through the film distribution process.",Creative Arts & Media,https://ugc.futurelearn.com/uploads/images/0c/9a/0c9aaf0c-1d85-494e-82bc-d817ed78b974.jpg,4,,Introductory level,4.70297,101,25879,59.0,GBP,2026-02-16
